"Problem","DateModified","Initials","SequenceNumber","NEWLOC","MAPLOC","DEPOSIT","Latitude","Longitude","Location_type","DMSLAT","DMSLONG","24kquad","100kQuad","CountyName","LandOwner","FSAgencyName","OrangeNum","1x2degreeQuadrangle","lon_WGS84","lat_WGS84","TOWNSHIP","RANGE","SECTION","QSECTION","OBJECTID","ZIP_CODE","Mining_District","Hard_File"
,,,"DI0167","DI0167","167","Sage Hen Flats Potential Placer",45.2283,-113.7958,0,451342,1134745,"EAST OF SALMON","SALMON ","LEMHI","U.S. Bureau of Land Management",,"96","DI",-113.796564503,45.2281411936,"022N","022E",24,"NE",2211,83462,"Eureka","NO"
,,,"DI0168","DI0168","168","Kirtley Creek Benches",45.2181,-113.7647,0,451305,1134553,"EAST OF SALMON","SALMON ","LEMHI","Private",,"98","DI",-113.765463477,45.2179414608,"022N","023E",20,"SW",2212,83467,"Kirtley Creek","NO"
,,,"DI0169","DI0169","169","Primrose",45.2092,-113.7814,0,451233,1134653,"EAST OF SALMON","SALMON ","LEMHI","Private",,,"DI",-113.782163836,45.20904140099999,"022N","023E",30,"NW",2213,83462,"Kirtley Creek","NO"
,,,"DI0170","DI0170","170","Hidden Treasure",45.2056,-113.7794,0,451220,1134646,"EAST OF SALMON","SALMON ","LEMHI","Private",,,"DI",-113.78016373,45.2054414354,"022N","023E",30,"SE",2214,83467,"Kirtley Creek","NO"
,,,"DI0171","DI0171","171","Kirtley Creek Placers (Washington Iron Works; Hagel Ranch Ground)",45.20332,-113.78587,3,451212,1134709,"EAST OF SALMON","SALMON ","LEMHI","Private",,"97","DI",-113.786633885,45.2031614054,"022N","023E",30,"SW",2215,83467,"Kirtley Creek","YES"
,,,"DI0172","DI0172","172","Kirtley Creek",45.1878,-113.8003,0,451116,1134801,"EAST OF SALMON","SALMON ","LEMHI","Private",,,"DI",-113.80106409,45.18764139979999,"022N","022E",36,"SE",2216,83467,"Kirtley Creek","NO"
,,,"DI0173","DI0173","173","Copper Bullion (Three Johns)",45.23362,-113.73657,3,451401,1134412,"BOHANNON SPRING","SALMON ","LEMHI","Private",,"99","DI",-113.73733288,45.2334615589,"022N","023E",16,"SE",2217,83467,"Kirtley Creek","YES"
,,,"DI0174","DI0174","174","Jackson Mine (Erickson; Geerston Claims)",45.21541,-113.72177,3,451255,1134318,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Bureau of Land Management",,"100","DI",-113.722532213,45.21525176319999,"022N","023E",22,"SW",2218,83467,"Kirtley Creek","NO"
,,,"DI0175","DI0175","175","Goldbug",45.2194,-113.6475,0,451310,1133851,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Forest Service","Salmon NF",,"DI",-113.64826014,45.219242235,"022N","024E",19,"SE",2219,83467,"Eldorado","NO"
,,,"DI0176","DI0176","176","Sundog",45.2172,-113.6458,0,451302,1133845,"BOHANNON SPRING","SALMON ","LEMHI","Private",,"105","DI",-113.646560062,45.2170422591,"022N","024E",20,"SW",2220,83467,"Eldorado","NO"
,,,"DI0177","DI0177","177","Gold Point",45.2164,-113.6603,0,451259,1133937,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Forest Service","Salmon NF",,"DI",-113.661060466,45.21624216719999,"022N","024E",19,"SW",2221,83467,"Eldorado","NO"
,,,"DI0178","DI0178","178","Hungry Hill Mine (Mountain View; Jerry Hurley Property)",45.2083,-113.6783,0,451230,1134042,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Bureau of Land Management",,"106","DI",-113.679060874,45.2081420944,"022N","023E",25,"NW",2222,83467,"Eldorado","NO"
,,,"DI0179","DI0179","179","Anderson Occurrence (Geerston Creek Claims; Ruby)",45.21472,-113.71472,3,451253,1134253,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Bureau of Land Management",,"101","DI",-113.715482002,45.2145618143,"022N","023E",22,"SE",2223,83467,"Eldorado","YES"
,,,"DI0180","DI0180","180","Geerston Creek Placer",45.1822,-113.7286,0,451056,1134343,"BOHANNON SPRING","SALMON ","LEMHI","Private",,"121","DI",-113.729361965,45.1820419118,"021N","023E",3,"NW",2224,83467,"Eldorado","YES"
,,,"DI0181","DI0181","181","Hose Dog No. 1 Prospect (Grant; Golden Rule and Dixie)",45.2078,-113.6303,0,451228,1133749,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Forest Service","Salmon NF",,"DI",-113.631059493,45.2076424168,"022N","024E",29,"NE",2225,83467,"Eldorado","NO"
,,,"DI0182","DI0182","182","East Bohannon Prospect (Kitty)",45.1936,-113.6347,0,451137,1133805,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","107","DI",-113.63545943,45.19344247039999,"022N","024E",32,"NE",2226,83467,"Eldorado","NO"
,,,"DI0183","DI0183","183","Wimpey Creek Copper Prospect (Mendota Group)",45.19011,-113.61641,3,451124,1133659,"GOLDSTONE PASS","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","108","DI",-113.61716886,45.1899526124,"022N","024E",33,"SE",2227,83467,"Eldorado","YES"
,,,"DI0184","DI0184","184","Independence Prospect (Wimpey Creek Lead-Silver Prospect; Mountain View; Idaho Maid)",45.1797,-113.6256,0,451047,1133732,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","110","DI",-113.626358985,45.1795426123,"021N","024E",4,"NW",2228,83467,"Eldorado","NO"
,,,"DI0185","DI0185","185","HRS Claim Group (HR Claims)",45.1744,-113.605,0,451028,1133618,"GOLDSTONE PASS","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","111","DI",-113.605758325,45.1742427803,"021N","024E",3,"SW",2229,83467,"Eldorado","NO"
,,,"DI0186","DI0186","186","Dark Horse Mine",45.16538,-113.59337,3,450955,1133536,"GOLDSTONE PASS","SALMON ","LEMHI","Forest Service","Salmon NF","109","DI",-113.594127872,45.16522291059999,"","",,"",2230,83467,"Eldorado","YES"
,,,"DI0187","DI0187","187","Bohannon Creek Placer (Bohannon Bar)",45.14833,-113.71111,3,450854,1134240,"BOHANNON SPRING","SALMON ","LEMHI","Private",,"120","DI",-113.711871014,45.1481722287,"021N","023E",15,"SE",2231,83467,"Eldorado","YES"
,,,"DI0188","DI0188","188","Sunflower Prospect (Sun Flower)",45.1453,-113.6658,0,450843,1133957,"BOHANNON SPRING","SALMON ","LEMHI","U.S. Bureau of Land Management",,"117","DI",-113.666559678,45.14514254829999,"021N","024E",18,"SW",2232,83467,"Eldorado","NO"
,,,"DI0189","DI0189","189","War Eagle Prospect",45.14736,-113.61576,3,450850,1133657,"GOLDSTONE PASS","SALMON ","LEMHI","Idaho Department of Lands",,"115","DI",-113.616518274,45.1472028686,"021N","024E",16,"SE",2233,83467,"Pratt Creek","YES"
,,,"DI0190","DI0190","190","Goldstone Mine (Gladstone; Climax Mine; IMJ Property; Bonanza Copper)",45.14296,-113.58179,3,450835,1133454,"GOLDSTONE PASS","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","112","DI",-113.582547244,45.1428031202,"021N","024E",14,"SW",2234,83467,"Sandy Creek","YES"
,,,"DI0192","DI0192","192","Dictator",45.1192,-113.595,0,450709,1133542,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Forest Service","Salmon NF",,"DI",-113.595757307,45.1190431743,"021N","024E",27,"SE",2235,83467,"Sandy Creek","NO"
,,,"DI0193","DI0193","193","Lone Star Prospect",45.11444,-113.58833,3,450652,1133518,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","119","DI",-113.589087054,45.1142832471,"021N","024E",26,"SW",2236,83467,"Sandy Creek","YES"
,,,"DI0194","DI0194","194","Virginia Mine (Gem; Midway; McKillop Group)",45.1062,-113.58194,3,450622,1133455,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","Private",,"114","DI",-113.582696762,45.10604333889999,"021N","024E",35,"SW",2237,83467,"Sandy Creek","YES"
,,,"DI0195","DI0195","195","Grizzley Prospect (Grizzly Bear)",45.09998,-113.57916,3,450600,1133445,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","Private",,,"DI",-113.5799166,45.0998233948,"021N","024E",35,"SW",2238,83467,"Sandy Creek","YES"
,,,"DI0196","DI0196","196","Gray Eagle (Sick Horse)",45.1175,-113.6889,0,450703,1134120,"BAKER","SALMON ","LEMHI","Private",,,"DI",-113.689659969,45.1173425608,"021N","023E",26,"SE",2239,83467,"Eldorado","NO"
,,,"DI0197","DI0197","197","Wimpey Creek Placer (Whimpey Creek Placer)",45.1128,-113.69,0,450646,1134124,"BAKER","SALMON ","LEMHI","Private",,"118","DI",-113.690759938,45.11264258169999,"021N","023E",35,"NE",2240,83467,"Eldorado","YES"
,,,"DI0198","DI0198","198","Clearwater Lode",45.11246,-113.64286,3,450645,1133834,"BAKER","SALMON ","LEMHI","U.S. Bureau of Land Management",,,"DI",-113.643618586,45.11230289709999,"021N","024E",32,"NW",2241,83467,"Pratt Creek","YES"
,,,"DI0199","DI0199","199","Sandy Creek Placer",45.1014,-113.6164,0,450605,1133659,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Bureau of Land Management",,,"DI",-113.617157684,45.1012431394,"021N","024E",33,"SE",2242,83467,"Pratt Creek","NO"
,,,"DI0200","DI0200","200","Baker Lignite Mine",45.0864,-113.7028,0,450511,1134210,"BAKER","SALMON ","LEMHI","U.S. Bureau of Land Management",,"142","DI",-113.703559954,45.086242656,"020N","023E",2,"SW",2243,83467,"Pratt Creek","NO"
,,,"DI0201","DI0201","201","Pratt Creek Placer",45.0775,-113.6928,0,450439,1134134,"BAKER","SALMON ","LEMHI","Private",,"143","DI",-113.69355955,45.0773427766,"020N","023E",11,"SE",2244,83467,"Pratt Creek","NO"
,,,"DI0202","DI0202","202","Sandy Creek Placer",45.0511,-113.6608,0,450304,1133939,"BAKER","SALMON ","LEMHI","U.S. Bureau of Land Management",,"144","DI",-113.661558287,45.0509431506,"020N","024E",19,"NW",2245,83467,"Pratt Creek","NO"
,,,"DI0203","DI0203","203","Lucky Strike Prospect",45.0814,-113.57,0,450453,1133412,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","145","DI",-113.570756093,45.08124356779999,"020N","024E",11,"NE",2246,83467,"Pratt Creek","NO"
,,,"DI0204","DI0204","204","Daisy Nielson",45.0731,-113.5906,0,450423,1133526,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Bureau of Land Management",,"146","DI",-113.591356572,45.0729434818,"020N","024E",10,"SE",2247,83467,"Pratt Creek","NO"
,,,"DI0205","DI0205","205","Sandy",45.0711,-113.5981,0,450416,1133553,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","Private",,"147","DI",-113.59885676,45.0709434443,"020N","024E",10,"SW",2248,83467,"Pratt Creek","NO"
,,,"DI0206","DI0206","206","Kenney Nuclear Prospect",45.0503,-113.5956,0,450301,1133544,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Bureau of Land Management",,"148","DI",-113.596356415,45.0501435879,"020N","024E",22,"NE",2249,83467,"","NO"
,,,"DI0207","DI0207","207","Last Chance Occurrence",45.00715,-113.56188,3,450026,1133343,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","149","DI",-113.562634884,45.0069940773,"019N","024E",1,"NW",2250,83467,"McDevitt","YES"
,,,"DI0208","DI0208","208","Pattee Creek Workings",45.00253,-113.56226,0,450009,1133344,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Bureau of Land Management","Salmon NF","150","DI",-113.563014834,45.0023741035,"019N","024E",1,"SW",2251,83467,"McDevitt","NO"
,,,"DI0209","DI0209","209","Idaho Thorium Showing No. 3 (Lone Star No. 9)",45.0019,-113.5667,0,450007,1133400,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Bureau of Land Management",,"151","DI",-113.567454953,45.00174407799999,"019N","024E",1,"SW",2252,83467,"McDevitt","NO"
,,,"DI0210","DI0210","210","Apex Vein",45.01,-113.5028,0,450036,1133010,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Forest Service","Salmon NF",,"DI",-113.503553234,45.0098444497,"019N","025E",4,"NW",2253,83467,"McDevitt","NO"
,,,"DI0211","DI0211","211","Independence",45.00282,-113.51513,3,450010,1133054,"GOLDSTONE MOUNTAIN","SALMON ","LEMHI","U.S. Bureau of Land Management",,"152","DI",-113.515883492,45.0026644129,"019N","025E",5,"SE",2254,83467,"McDevitt","YES"
,,,"DI0212","DI0212","212","Lucky Horseshoe",45.00028,-113.49833,3,450001,1132954,"KITTY CREEK","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","153","DI",-113.499082979,45.0001245395,"019N","025E",4,"SW",2255,83467,"McDevitt","YES"
,,,"DI0213","DI0213","213","Sparky",45.0022,-113.4797,0,450008,1132847,"KITTY CREEK","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","154","DI",-113.480452472,45.00204465029999,"019N","025E",3,"SW",2256,83467,"McDevitt","NO"
,,,"DI0214","DI0214","214","Skylark",45.0031,-113.4706,0,450011,1132814,"KITTY CREEK","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","155","DI",-113.471352224,45.0029447047,"019N","025E",3,"SE",2257,83467,"McDevitt","NO"
,,,"DI0215","DI0215","215","Betty Joe",45.0019,-113.4569,0,450007,1132725,"KITTY CREEK","SALMON ","LEMHI","U.S. Forest Service","Salmon NF","156","DI",-113.457651817,45.0017448024,"019N","025E",2,"SW",2258,83467,"McDevitt","NO"
,,,"DI0216","DI0216","216","Bob Moore Creek Prospect",45.20972,-113.975,3,451235,1135830,"SALMON","SALMON ","LEMHI","U.S. Forest Service","Salmon NF",,"DI",-113.975769375,45.2095600984,"022N","021E",28,"NE",2259,83462,"Eureka",
,,,"DR0001","DR0001","   1","Green Canyon Tufa Deposit (Pincock Deposit)",43.79111,-111.43472,3,434728,1112605,"WRIGHT CREEK","REXBERG ","MADISON","Private",,"1","DR",-111.435399427,43.7909763187,"005N","043E",6,"NW",2260,83440,"","YES"
,,,"DR0002","DR0002","   2","Pumice Deposit",43.8286,-111.1481,0,434943,1110853,"TETONIA","REXBERG ","TETON","Private",,"2","DR",-111.148771692,43.8284676996,"006N","045E",21,"SE",2261,83452,"","NO"
,,,"DR0003","DR0003","   3","Pumice Deposit",43.815,-111.1503,0,434854,1110901,"TETONIA","REXBERG ","TETON","Private",,"3","DR",-111.150971602,43.8148677998,"006N","045E",28,"SW",2262,83452,"","NO"
,,,"DR0004","DR0004","   4","Pumice Deposit",43.8106,-111.1386,0,434838,1110819,"TETONIA","REXBERG ","TETON","Private",,"4","DR",-111.139271219,43.8104679052,"006N","045E",27,"SW",2263,83452,"","NO"
,,,"DR0005","DR0005","   5","Breckenridge Well Coal Prospect",43.8014,-111.2244,0,434805,1111328,"TETONIA","REXBERG ","TETON","Private",,"5","DR",-111.22507356,43.80126747729999,"006N","044E",35,"SE",2264,83452,"","NO"
,,,"DR0006","DR0006","   6","Mikesell Coal Mine (Mike Sell)",43.74666,-111.31862,3,434448,1111907,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","6","DR",-111.319295625,43.7465273825,"005N","044E",19,"NW",2265,83452,"Horseshoe Basin","YES"
,,,"DR0007","DR0007","   7","Pintar Coal Mine",43.7394,-111.3369,0,434422,1112013,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","7","DR",-111.337576063,43.739267336,"005N","043E",24,"SW",2266,83422,"Horseshoe Basin","NO"
,,,"DR0008","DR0008","   8","Unnamed location",43.7394,-111.3461,0,434422,1112046,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","8","DR",-111.346776325,43.73926728159999,"005N","043E",23,"SE",2267,83422,"Horseshoe Basin","NO"
,,,"DR0009","DR0009","   9","Packsaddle Coal Mine",43.7361,-111.3378,0,434410,1112016,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"9","DR",-111.338476052,43.7359673588,"005N","043E",25,"NW",2268,83422,"Horseshoe Basin","NO"
,,,"DR0010","DR0010","  10","Bulldozed Coal Cut II",43.7336,-111.3339,0,434401,1112002,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"10","DR",-111.334575913,43.73346740309999,"005N","043E",25,"NW",2269,83422,"Horseshoe Basin","NO"
,,,"DR0011","DR0011","  11","Porcupine Coal Workings",43.7322,-111.3256,0,434356,1111932,"GARNS MOUNTAIN","REXBERG ","TETON","Private","Targhee NF","11","DR",-111.326275661,43.7320674641,"005N","043E",25,"NE",2270,83422,"Horseshoe Basin","NO"
,,,"DR0012","DR0012","  12","Big Hole Mtns. Limestone Occurrence",43.7303,-111.3706,0,434349,1112214,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","12","DR",-111.371276918,43.7301672141,"005N","043E",27,"SW",2271,83422,"","NO"
,,,"DR0013","DR0013","  13","Bulldozed Coal Cut I",43.7267,-111.3294,0,434336,1111946,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"13","DR",-111.330075707,43.7265674885,"005N","043E",25,"SW",2272,83422,"Horseshoe Basin","NO"
,,,"DR0014","DR0014","  14","Idaho Coal Mine (Valley View)",43.73044,-111.30334,3,434350,1111812,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","14","DR",-111.304015009,43.7303076107,"005N","044E",30,"SE",2273,83452,"Horseshoe Basin","YES"
,,,"DR0015","DR0015","  15","Brown Bear Coal Mine",43.72425,-111.32335,3,434327,1111924,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"15","DR",-111.324025508,43.7241175452,"005N","043E",25,"SE",2274,83422,"Horseshoe Basin","YES"
,,,"DR0016","DR0016","  16","Boise Coal Mine",43.7194,-111.3306,0,434310,1111950,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"16","DR",-111.331275659,43.71926754379999,"005N","043E",36,"NW",2275,83422,"Horseshoe Basin","NO"
,,,"DR0017","DR0017","  17","Harry Samuels Coal Workings",43.7178,-111.3233,0,434304,1111924,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"17","DR",-111.323975434,43.7176676006,"005N","043E",36,"NE",2276,83422,"Horseshoe Basin","NO"
,,,"DR0018","DR0018","  18","Fredrikson Coal Workings (Hillman Mine)",43.7161,-111.3325,0,434258,1111957,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service",,"18","DR",-111.333175676,43.71596756069999,"005N","043E",36,"SW",2277,83422,"Horseshoe Basin","NO"
,,,"DR0019","DR0019","  19","Williamson Coal Mine",43.7153,-111.3233,0,434255,1111924,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"19","DR",-111.323975406,43.71516762189999,"005N","043E",36,"SE",2278,83422,"Horseshoe Basin","NO"
,,,"DR0020","DR0020","  20","Packsaddle Basin Limestone Deposit",43.70723,-111.32776,3,434226,1111940,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","20","DR",-111.328435442,43.70709766469999,"004N","043E",1,"NE",2279,83422,"Horseshoe Basin","YES"
,,,"DR0021","DR0021","  21","Blacksmith Workings",43.7053,-111.3211,0,434219,1111916,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service",,"21","DR",-111.321775231,43.70516772049999,"004N","043E",1,"NE",2280,83422,"Horseshoe Basin","NO"
,,,"DR0022","DR0022","  22","Unnamed location",43.7303,-111.2797,0,434349,1111647,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","22","DR",-111.280374335,43.7301677514,"005N","044E",28,"SW",2281,83452,"Horseshoe Basin","NO"
,,,"DR0023","DR0023","  23","Exploratory Oil Drillwell No. 2",43.72888,-111.2642,3,434344,1111551,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"23","DR",-111.264873878,43.7287478549,"005N","044E",28,"SE",2282,83422,"Horseshoe Basin","YES"
,,,"DR0024","DR0024","  24","Flann Coal Mine (Flamm Mine)",43.7247,-111.2744,0,434329,1111628,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"24","DR",-111.275074122,43.7245678304,"005N","044E",28,"SW",2283,83422,"Horseshoe Basin","NO"
,,,"DR0025","DR0025","  25","Blevins No. 3 Oil and Gas Occurrence",43.72766,-111.2696,3,434340,1111611,"GARNS MOUNTAIN","REXBERG ","TETON","Private",,"25","DR",-111.270274018,43.7275278334,"005N","044E",28,"SE",2284,83422,"Horseshoe Basin","YES"
,,,"DR0026","DR0026","  26","Cluff Tunnels",43.7203,-111.2944,0,434313,1111740,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","26","DR",-111.295074641,43.7201677499,"005N","044E",32,"NW",2285,83452,"Horseshoe Basin","NO"
,,,"DR0027","DR0027","  27","Brown Bear Mine (Samuels Tunnel)",43.7178,-111.3083,0,434304,1111830,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","27","DR",-111.308975008,43.7176676892,"005N","044E",31,"NE",2286,83422,"Horseshoe Basin","NO"
,,,"DR0028","DR0028","  28","Unnamed location",43.7156,-111.2953,0,434256,1111743,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","28","DR",-111.295974614,43.7154677847,"005N","044E",32,"SW",2287,83422,"Horseshoe Basin","NO"
,,,"DR0029","DR0029","  29","Blevins No. 1 Gas Occurrence (Bevan's #1; Bonneville No. 1; Meadow Creek-Sorenson No. 1)",43.7106,-111.2692,3,434238,1111609,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","29","DR",-111.269873816,43.71046798139999,"005N","044E",33,"SE",2288,83422,"Horseshoe Basin","YES"
,,,"DR0030","DR0030","  30","Bellcut Coal Mine",43.7094,-111.3142,0,434234,1111851,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","30","DR",-111.314875081,43.7092677262,"005N","044E",31,"SW",2289,83422,"Horseshoe Basin","YES"
,,,"DR0031","DR0031","  31","Horseshoe Coal Mine (Old Horseshoe; Superior Mine)",43.70661,-111.31497,3,434224,1111854,"GARNS MOUNTAIN","REXBERG ","TETON","Private","Targhee NF","31","DR",-111.315645072,43.7064777455,"004N","044E",6,"NW",2290,83422,"Horseshoe Basin","YES"
,,,"DR0032","DR0032","  32","Keystone Coal Workings",43.7011,-111.3122,0,434204,1111844,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","32","DR",-111.312874931,43.7009678091,"004N","044E",6,"SW",2291,83422,"Horseshoe Basin","NO"
,,,"DR0033","DR0033","  33","Griffith Coal Mine",43.6953,-111.3289,0,434143,1111944,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","33","DR",-111.32957534,43.6951677603,"004N","043E",1,"SE",2292,83422,"Horseshoe Basin","NO"
,,,"DR0034","DR0034","  34","Nickell's Coal Prospect",43.6986,-111.3217,0,434155,1111918,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","34","DR",-111.322375173,43.6984677745,"004N","043E",1,"SE",2293,83422,"Horseshoe Basin","NO"
,,,"DR0035","DR0035","  35","Nickell's Coal Prospect II",43.6975,-111.315,0,434151,1111854,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","35","DR",-111.31567497,43.6973678235,"004N","044E",6,"SW",2294,83422,"Horseshoe Basin","NO"
,,,"DR0036","DR0036","  36","Trench E Phosphate Occurrence",43.6767,-111.3033,0,434036,1111812,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","36","DR",-111.303974405,43.67656807149999,"004N","044E",18,"NE",2295,83422,"Horseshoe Basin","NO"
,,,"DR0037","DR0037","  37","Mahogany Creek Coal Prospect",43.6739,-111.2531,0,434026,1111511,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","37","DR",-111.253772948,43.6737683915,"004N","044E",15,"NW",2296,83422,"Horseshoe Basin","NO"
,,,"DR0038","DR0038","  38","Trench D Phosphate Occurrence",43.6606,-111.2536,0,433938,1111513,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","38","DR",-111.254272813,43.6604685035,"004N","044E",22,"NW",2297,83422,"Horseshoe Basin","NO"
,,,"DR0039","DR0039","  39","Piney Peak Phosphate Deposit",43.6233,-111.3558,0,433724,1112121,"STOUTS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","51","DR",-111.356475297,43.6231682252,"004N","043E",35,"SW",2298,83422,"Pine Creek","NO"
,,,"DR0040","DR0040","  40","Trench F Phosphate Occurrence",43.6306,-111.2525,0,433750,1111509,"GARNS MOUNTAIN","REXBERG ","TETON","U.S. Forest Service","Targhee NF","39","DR",-111.253172447,43.63046877039999,"004N","044E",34,"NW",2299,83455,"Horseshoe Basin","NO"
,,,"DR0041","DR0041","  41","Patterson Creek Phosphate Deposit (Walton Mine)",43.6206,-111.235,0,433714,1111406,"FOURTH OF JULY PEAK","REXBERG ","TETON","U.S. Forest Service","Targhee NF","40","DR",-111.235671839,43.6204689605,"003N","044E",2,"NW",2300,83455,"Horseshoe Basin","NO"
,,,"DR0042","DR0042","  42","Peat Bog",43.6611,-111.1347,0,433940,1110805,"BATES","REXBERG ","TETON","Private",,"43","DR",-111.135369441,43.6609691972,"004N","045E",22,"NW",2301,83455,"","NO"
,,,"DR0043","DR0043","  43","Sorenson Creek Clay Occurrence",43.6603,-111.0528,0,433937,1110310,"DRIGGS","REXBERG ","TETON","Private",,"44","DR",-111.053467103,43.6601696829,"004N","046E",20,"NW",2302,83422,"","NO"
,,,"DR0044","DR0044","  44","Trench C Phosphate Occurrence",43.6175,-111.0758,0,433703,1110433,"VICTOR","REXBERG ","TETON","U.S. Bureau of Land Management",,"45","DR",-111.076467283,43.61736991999999,"003N","046E",6,"NW",2303,83455,"","NO"
,,,"DR0045","DR0045","  45","Pine Creek Pass Coal Prospect",43.5717,-111.2186,0,433418,1111307,"FOURTH OF JULY PEAK","REXBERG ","BONNEVILLE","U.S. Forest Service","Targhee NF","41","DR",-111.21927083,43.57156948599999,"003N","044E",24,"NW",2304,83449,"Pine Creek","NO"
,,,"DR0046","DR0046","  46","Kunz Drift",43.5703,-111.1958,0,433413,1111145,"FOURTH OF JULY PEAK","REXBERG ","TETON","U.S. Forest Service","Targhee NF","42","DR",-111.196470168,43.5701696321,"003N","045E",19,"SW",2305,83455,"Horseshoe Basin","NO"
,,,"DR0047","DR0047","  47","Pine Creek Phosphate Deposit",43.5561,-111.2894,0,433322,1111722,"STOUTS MOUNTAIN","REXBERG ","BONNEVILLE","U.S. Forest Service","Targhee NF","78","DR",-111.290072664,43.55596920799999,"003N","044E",29,"SE",2306,83449,"Pine Creek","NO"
,,,"DR0048","DR0048","  48","Limestone",43.5506,-111.2978,0,433302,1111752,"STOUTS MOUNTAIN","REXBERG ","BONNEVILLE","U.S. Forest Service","Targhee NF","79","DR",-111.298472841,43.5504692074,"003N","044E",29,"SW",2307,83449,"Pine Creek","NO"
,,,"DR0049","DR0049","  49","Moose Creek Phosphate Occurrence",43.5675,-111.0547,0,433403,1110317,"VICTOR","REXBERG ","TETON","U.S. Forest Service","Targhee NF","46","DR",-111.055366132,43.5673704814,"003N","046E",20,"SW",2308,83455,"","NO"
,,,"DR0050","DR0050","  50","Mike Harris Creek Limestone Deposit",43.5564,-111.0958,0,433323,1110545,"VICTOR","REXBERG ","TETON","U.S. Forest Service","Targhee NF","47","DR",-111.096467176,43.55627033979999,"003N","045E",25,"NW",2309,83455,"","NO"
