"SequenceNumber","Ref_id","PageNumbers","Reference","NotesForReferenceUpdate2015"
"DR0128",1667,,"Vine, 1959, USGS B-1055-I.",
"DR0129",1667,,"Vine, 1959, USGS B-1055-I.",
"DR0130",82,,"Bhatti, 1971, Univ. of Idaho M.S. thesis.",
"DR0131",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0132",441,,"Gardner, 1961, USGS OFR 61-53.",
"DR0133",1590,,"USGS, Palisades Dam 7.5-min. quad. topo. map.",
"DR0134",968,,"Swanson and others, 1953, USGS C-297.",
"DR0135",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0136",1667,,"Vine, 1959, USGS B-1055-I.",
"DR0137",894,,"Savage, 1961, IBMG CR-5.",
"DR0138",617,,"Mansfield, 1920, USGS B-716-F.",
"DR0139",617,,"Mansfield, 1920, USGS B-716-F.",
"DR0140",894,,"Savage, 1961, IBMG CR-5.",
"DR0141",620,,"Mansfield, 1952, USGS PP-238.",
"DR0142",910,,"Service, 1966, USBM RI-6801.",
"DR0143",620,,"Mansfield, 1952, USGS PP-238.",
"DR0144",620,,"Mansfield, 1952, USGS PP-238.",
"DR0145",620,,"Mansfield, 1952, USGS PP-238.",
"DR0146",1240,,"USBM, n.d., WFOC MPF-49.001.",
"DR0147",620,,"Mansfield, 1952, USGS PP-238.",
"DR0148",620,,"Mansfield, 1952, USGS PP-238.",
"DR0149",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0150",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0151",46,,"Asher, 1965, IBMG P-135.",
"DR0152",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0153",767,,"No reference.",
"DR0154",1667,,"Vine, 1959, USGS B-1055-I.",
"DR0155",767,,"No reference.",
"DR0156",894,,"Savage, 1961, IBMG CR-5.",
"DR0157",894,,"Savage, 1961, IBMG CR-5.",
"DR0158",473,,"Hamilton, 1961, Univ. of Idaho M.S. thesis.",
"DR0160",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0161",894,,"Savage, 1961, IBMG CR-5.",
"DR0162",894,,"Savage, 1961, IBMG CR-5.",
"DR0163",1667,,"Vine, 1959, USGS B-1055-I.",
"DR0164",1034,,"USBM, n.d., USBM files.",
"DR0165",894,,"Savage, 1961, IBMG CR-5.",
"DR0166",894,,"Savage, 1961, IBMG CR-5.",
"DR0167",894,,"Savage, 1961, IBMG CR-5.",
"DR0168",1034,,"USBM, n.d., USBM files.",
"DR0169",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0170",894,,"Savage, 1961, IBMG CR-5.",
"DR0172",894,,"Savage, 1961, IBMG CR-5.",
"DR0173",473,,"Hamilton, 1961, Univ. of Idaho M.S. thesis.",
"DR0174",894,,"Savage, 1961, IBMG CR-5.",
"DR0175",894,,"Savage, 1961, IBMG CR-5.",
"DR0176",473,,"Hamilton, 1961, Univ. of Idaho M.S. thesis.",
"DR0177",473,,"Hamilton, 1961, Univ. of Idaho M.S. thesis.",
"DR0178",894,,"Savage, 1961, IBMG CR-5.",
"DR0179",894,,"Savage, 1961, IBMG CR-5.",
"DR0180",46,,"Asher, 1965, IBMG P-135.",
"DR0181",618,,"Mansfield, 1927, USGS PP-152.",
"DR0182",618,,"Mansfield, 1927, USGS PP-152.",
"DR0183",618,,"Mansfield, 1927, USGS PP-152.",
"DR0184",620,,"Mansfield, 1952, USGS PP-238.",
"DR0185",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0186",620,,"Mansfield, 1952, USGS PP-238.",
"DR0187",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0188",663,,"MINOBRAS, 1975, Idaho Industrial Minerals.",
"DR0189",620,,"Mansfield, 1952, USGS PP-238.",
"DU0001",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0002",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0003",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0004",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0005",37,,"Anderson, 1958, IBMG P-115.",
"DU0006",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0007",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0008",37,,"Anderson, 1958, IBMG P-115.",
"DU0009",37,,"Anderson, 1958, IBMG P-115.",
"DU0010",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0011",37,,"Anderson, 1958, IBMG P-115.",
"DU0012",1281,,"USBM, n.d., WFOC MPF-71.014.",
"DU0013",37,,"Anderson, 1958, IBMG P-115.",
"DU0014",39,,"Anderson, 1961, IBMG P-124.",
"DU0015",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0016",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0017",37,,"Anderson, 1958, IBMG P-115.",
"DU0018",39,,"Anderson, 1961, IBMG P-124.",
"DU0019",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0020",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0021",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0022",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0023",37,,"Anderson, 1958, IBMG P-115.",
"DU0024",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0025",957,,"Staley, 1962, IGS Mineral Property Files.",
"DU0026",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0027",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0028",947,,"Staatz, 1972, USGS B-1351.",
"DU0029",947,,"Staatz, 1972, USGS B-1351.",
"DU0030",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0031",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0032",947,,"Staatz, 1972, USGS B-1351.",
"DU0033",37,,"Anderson, 1958, IBMG P-115.",
"DU0034",37,,"Anderson, 1958, IBMG P-115.",
"DU0035",947,,"Staatz, 1972, USGS B-1351.",
"DU0036",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0037",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0038",947,,"Staatz, 1972, USGS B-1351.",
"DU0039",947,,"Staatz, 1972, USGS B-1351.",
"DU0040",947,,"Staatz, 1972, USGS B-1351.",
"DU0041",947,,"Staatz, 1972, USGS B-1351.",
"DU0042",947,,"Staatz, 1972, USGS B-1351.",
"DU0043",947,,"Staatz, 1972, USGS B-1351.",
"DU0044",947,,"Staatz, 1972, USGS B-1351.",
"DU0045",947,,"Staatz, 1972, USGS B-1351.",
"DU0046",949,,"Staatz, 1979, USGS PP-1049-A.",
"DU0047",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0048",1675,,"Weis and others, 1958, USGS B-1074-B.",
"DU0049",947,,"Staatz, 1972, USGS B-1351.",
"DU0050",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0051",913,,"Sharp and Hetland, 1968, US DOE Rept. RA-12(78).",
"DU0052",947,,"Staatz, 1972, USGS B-1351.",
"DU0053",947,,"Staatz, 1972, USGS B-1351.",
"DU0054",947,,"Staatz, 1972, USGS B-1351.",
"DU0055",947,,"Staatz, 1972, USGS B-1351.",
"DU0056",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0057",947,,"Staatz, 1972, USGS B-1351.",
"DU0058",37,,"Anderson, 1958, IBMG P-115.",
"DU0059",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0060",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0061",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"DU0062",37,,"Anderson, 1958, IBMG P-115.",
"DU0063",947,,"Staatz, 1972, USGS B-1351.",
"DU0064",912,,"Sharp and Cavender, 1962, USGS B-1126.",
"EC0019",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0020",1034,,"USBM, n.d., USBM files.",
"EC0021",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0022",123,,"Campbell, 1940, 41st Ann. Rept. of Mining Ind. of Idaho for 1939.",
"EC0023",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0024",427,,"Flagg, 1913, AIME Trans., v. 45.",
"EC0025",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0026",864,,"Reid, 1960, IGS Mineral Property Files.",
"EC0027",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0028",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0029",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0030",1034,,"USBM, n.d., USBM files.",
"EC0031",749,,"MSHA, n.d., MSHA ID No. 10 01096.",
"EC0032",752,,"MSHA, n.d., MSHA ID No. 10 01324.",
"EC0033",1324,,"USBM, n.d., WFOC MPF-99.999.",
"EC0034",606,,"Lorain, 1938, USBM IC-7039.",
"EC0035",863,,"Reid, 1960, IBMG P-121.",
"EC0036",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0037",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0038",427,,"Flagg, 1913, AIME Trans., v. 45.",
"EC0039",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0040",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0041",861,,"Reid, 1957, IGS Mineral Property Files.",
"EC0042",863,,"Reid, 1960, IBMG P-121.",
"EC0043",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0044",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0045",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0046",62,,"Bell, 1913, 14th Ann. Rept. of Mining Ind. of Idaho for 1912.",
"EC0047",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0048",861,,"Reid, 1957, IGS Mineral Property Files.",
"EC0049",606,,"Lorain, 1938, USBM IC-7039.",
"EC0050",1462,,"USGS, Black Hawk Mountain 7.5-min. quad. topo. map.",
"EC0051",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0052",1462,,"USGS, Black Hawk Mountain 7.5-min. quad. topo. map.",
"EC0053",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0054",863,,"Reid, 1960, IBMG P-121.",
"EC0055",40,,"Armstrong and Weis, 1957, USGS B-1046-C.",
"EC0056",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0057",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0058",862,,"Reid, 1958, IGS Mineral Property Files.",
"EC0059",862,,"Reid, 1958, IGS Mineral Property Files.",
"EC0060",110,,"Campbell, 1925, 26th Ann. Rept. of Mining Ind. of Idaho for 1924.",
"EC0061",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0062",863,,"Reid, 1960, IBMG P-121.",
"EC0063",1476,,"USGS, Center Star Mountain 7.5-min. quad. topo. map.",
"EC0064",114,,"Campbell, 1929, 30th Ann. Rept. of Mining Ind. of Idaho for 1928.",
"EC0065",556,,"Kiilsgaard, 1947, IGS Mineral Property Files.",
"EC0066",1476,,"USGS, Center Star Mountain 7.5-min. quad. topo. map.",
"EC0066",606,,"Lorain, 1938, USBM IC-7039.",
"EC0068",606,,"Lorain, 1938, USBM IC-7039.",
"EC0069",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0070",863,,"Reid, 1960, IBMG P-121.",
"EC0071",606,,"Lorain, 1938, USBM IC-7039.",
"EC0072",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0073",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0074",863,,"Reid, 1960, IBMG P-121.",
"EC0075",410,,"Erdman and others, 2003, IGS S-03-22.",
"EC0076",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0077",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0079",606,,"Lorain, 1938, USBM IC-7039.",
"EC0079",129,,"Campbell, 1947, 48th Ann. Rept. of Mining Ind. of Idaho for 1946.",
"EC0080",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0081",863,,"Reid, 1960, IBMG P-121.",
"EC0082",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0083",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0084",862,,"Reid, 1958, IGS Mineral Property Files.",
"EC0085",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0086",862,,"Reid, 1958, IGS Mineral Property Files.",
"EC0087",863,,"Reid, 1960, IBMG P-121.",
"EC0088",863,,"Reid, 1960, IBMG P-121.",
"EC0089",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0090",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0091",1034,,"USBM, n.d., USBM files.",
"EC0092",862,,"Reid, 1958, IGS Mineral Property Files.",
"EC0093",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0094",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0095",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0096",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0097",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0098",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0099",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0100",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0101",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0102",1034,,"USBM, n.d., USBM files.",
"EC0103",867,,"Rice, 1970, USBM RI-7425.",
"EC0104",730,,"MSHA, 1980, MSHA ID No. 10 01414.",
"EC0105",517,,"Jellum, 1909, Northwest Mining News, v. 3-4.",
"EC0106",517,,"Jellum, 1909, Northwest Mining News, v. 3-4.",
"EC0107",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0108",606,,"Lorain, 1938, USBM IC-7039.",
"EC0109",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0110",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0111",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0112",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0113",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0114",1587,,"USGS, Orogrande 7.5-min. quad. topo. map.",
"EC0115",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0116",606,,"Lorain, 1938, USBM IC-7039.",
"EC0117",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0118",168,,"Czizek, 1900, Rept. of Inspector of Mines of Idaho for 1899.",
"EC0119",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0120",977,,"Thomson and Ballard, 1924, IBMG B-7.",
"EC0121",977,,"Thomson and Ballard, 1924, IBMG B-7.",
"EC1284",977,,"Thomson and Ballard, 1924, IBMG B-7.",
"EC1283",977,,"Thomson and Ballard, 1924, IBMG B-7.",
"EC0122",168,,"Czizek, 1900, Rept. of Inspector of Mines of Idaho for 1899.",
"EC0123",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0124",416,,"Esparza and others, 1984, USBM MLA OFR 2-84.",
"EC0125",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0126",606,,"Lorain, 1938, USBM IC-7039.",
"EC0127",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0128",56,,"Bell, 1904, Rept. of Mining Dist. of Idaho for 1903.",
"EC0129",606,,"Lorain, 1938, USBM IC-7039.",
"EC0130",57,,"Bell, 1905, Rept. of Mining Dist. of Idaho for 1904.",
"EC0131",57,,"Bell, 1905, Rept. of Mining Dist. of Idaho for 1904.",
"EC0132",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0133",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0134",979,,"Toltec Mining Co., 1914, Toltec Mining Co. Ann. Rept. to Idaho Inspector of Mines.",
"EC0135",848,,"Powers, 1955, IGS Mineral Property Files.",
"EC0136",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0137",515,,"Jacobs, 1902, Rept. of Mining Dist. of Idaho for 1901.",
"EC0138",416,,"Esparza and others, 1984, USBM MLA OFR 2-84.",
"EC0139",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0140",57,,"Bell, 1905, Rept. of Mining Dist. of Idaho for 1904.",
"EC0141",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0142",416,,"Esparza and others, 1984, USBM MLA OFR 2-84.",
"EC0143",416,,"Esparza and others, 1984, USBM MLA OFR 2-84.",
"EC0144",416,,"Esparza and others, 1984, USBM MLA OFR 2-84.",
"EC0145",416,,"Esparza and others, 1984, USBM MLA OFR 2-84.",
"EC0146",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0147",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0148",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0149",1467,,"USGS, Buffalo Hump 7.5-min. quad. topo. map.",
"EC0150",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0151",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0152",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0153",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0154",1623,,"USGS, Silver Spur Ridge 7.5-min. quad. topo. map.",
"EC0155",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0156",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0157",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0158",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0159",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0160",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0161",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0162",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0163",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0164",977,,"Thomson and Ballard, 1924, IBMG B-7.",
"EC0165",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0166",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0167",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0168",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0169",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0170",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0171",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0172",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0173",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0174",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0175",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0176",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0177",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0178",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0179",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0180",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0181",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0182",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0183",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0184",977,,"Thomson and Ballard, 1924, IBMG B-7.",
"EC0185",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0186",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0187",517,,"Jellum, 1909, Northwest Mining News, v. 3-4.",
"EC0188",977,,"Thomson and Ballard, 1924, IBMG B-7.",
"EC0189",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0190",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0191",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0192",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0193",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0194",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0195",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0196",916,,"Shenon and Reed, 1934, USGS C-9.",
"EC0197",1623,,"USGS, Silver Spur Ridge 7.5-min. quad. topo. map.",
"EC0198",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0199",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0200",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0201",629,,"McDowell, 1949, 50th Ann. Rept. of Mining Ind. of Idaho for 1948.",
"EC0202",606,,"Lorain, 1938, USBM IC-7039.",
"EC0203",525,,"Jones, 1959, IGS Mineral Property Files.",
"EC0204",606,,"Lorain, 1938, USBM IC-7039.",
"EC0205",418,,"Eversmeyer, 1990, IGS TR 90-1.",
"EC0206",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0207",130,,"Capps and Roberts, 1939, IBMG P-48.",
"EC0208",1500,,"USGS, Dixie 7.5-min. quad. topo. map.",
"EC0209",858,,"Reed, 1937, IBMG P-45.",
"EC0210",858,,"Reed, 1937, IBMG P-45.",
"EC0211",858,,"Reed, 1937, IBMG P-45.",
"EC0212",1009,,"USBM Liaison Office Rept. of Mining Operations of Idaho for 1972.",
"EC0213",1061,,"USBM, n.d., WFOC MPF-03.019.",
"EC0214",1060,,"USBM, n.d., WFOC MPF-03.018.",
"EC0215",858,,"Reed, 1937, IBMG P-45.",
"EC0216",858,,"Reed, 1937, IBMG P-45.",
"EC0217",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"EC0218",858,,"Reed, 1937, IBMG P-45.",
"EC0219",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0220",571,,"Kline and Carlson, 1952, US Atomic Energy Comm. Rept. RMO-1525.",
"EC0221",858,,"Reed, 1937, IBMG P-45.",
"EC0222",1034,,"USBM, n.d., USBM files.",
"EC0223",858,,"Reed, 1937, IBMG P-45.",
"EC0224",858,,"Reed, 1937, IBMG P-45.",
"EC0225",858,,"Reed, 1937, IBMG P-45.",
"EC0226",606,,"Lorain, 1938, USBM IC-7039.",
"EC0227",858,,"Reed, 1937, IBMG P-45.",
"EC0228",858,,"Reed, 1937, IBMG P-45.",
"EC0229",858,,"Reed, 1937, IBMG P-45.",
"EC0230",858,,"Reed, 1937, IBMG P-45.",
"EC0231",750,,"MSHA, n.d., MSHA ID No. 10 01237.",
"EC0232",858,,"Reed, 1937, IBMG P-45.",
"EC0233",843,,"Pointon, 1921, Northwest Mining Truth, v. 6, no. 13.",
"EC0234",858,,"Reed, 1937, IBMG P-45.",
"EC0235",858,,"Reed, 1937, IBMG P-45.",
"EC0236",858,,"Reed, 1937, IBMG P-45.",
"EC0237",858,,"Reed, 1937, IBMG P-45.",
"EC0238",858,,"Reed, 1937, IBMG P-45.",
"EC0239",858,,"Reed, 1937, IBMG P-45.",
"EC0240",767,,"No reference.",
"EC0241",858,,"Reed, 1937, IBMG P-45.",
"EC0242",858,,"Reed, 1937, IBMG P-45.",
"EC0243",858,,"Reed, 1937, IBMG P-45.",
"EC0244",858,,"Reed, 1937, IBMG P-45.",
"EC0245",858,,"Reed, 1937, IBMG P-45.",
"EC0246",606,,"Lorain, 1938, USBM IC-7039.",
"EC0247",858,,"Reed, 1937, IBMG P-45.",
"EC0248",858,,"Reed, 1937, IBMG P-45.",
"EC0249",858,,"Reed, 1937, IBMG P-45.",
"EC0250",858,,"Reed, 1937, IBMG P-45.",
"EC0251",858,,"Reed, 1937, IBMG P-45.",
"EC0252",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"EC0253",858,,"Reed, 1937, IBMG P-45.",
"EC0254",858,,"Reed, 1937, IBMG P-45.",
"EC0255",858,,"Reed, 1937, IBMG P-45.",
"EC0256",858,,"Reed, 1937, IBMG P-45.",
"EC0257",858,,"Reed, 1937, IBMG P-45.",
"EC0258",858,,"Reed, 1937, IBMG P-45.",
"EC0259",858,,"Reed, 1937, IBMG P-45.",
"EC0260",858,,"Reed, 1937, IBMG P-45.",
"EC0261",858,,"Reed, 1937, IBMG P-45.",
"EC0262",858,,"Reed, 1937, IBMG P-45.",
"EC0263",594,,"Lindgren, 1900, 20th Ann. Rept. of the USGS, pt. 3.",
"EC0264",858,,"Reed, 1937, IBMG P-45.",
"EC0265",858,,"Reed, 1937, IBMG P-45.",
"EC0266",858,,"Reed, 1937, IBMG P-45.",
"EC0267",843,,"Pointon, 1921, Northwest Mining Truth, v. 6, no. 13.",
"EC0268",858,,"Reed, 1937, IBMG P-45.",
"EC0269",604,,"Lorain and Metzger, 1938, USBM IC-7023.",
"EC0270",61,,"Bell, 1912, 13th Ann. Rept. of Mining Ind. of Idaho for 1911.",
"EC0271",140,,"Cater and others, 1973, USGS B-1304.",
"EC0272",140,,"Cater and others, 1973, USGS B-1304.",
"EC0273",140,,"Cater and others, 1973, USGS B-1304.",
"EC0274",140,,"Cater and others, 1973, USGS B-1304.",
"EC0275",140,,"Cater and others, 1973, USGS B-1304.",
"EC0276",140,,"Cater and others, 1973, USGS B-1304.",
"EC0277",917,,"Shenon and Ross, 1936, IBMG P-44.",
"EC0278",140,,"Cater and others, 1973, USGS B-1304.",
"EC0279",140,,"Cater and others, 1973, USGS B-1304.",
"EC0280",140,,"Cater and others, 1973, USGS B-1304.",
"EC0281",140,,"Cater and others, 1973, USGS B-1304.",
"EC0282",140,,"Cater and others, 1973, USGS B-1304.",
"EC0283",140,,"Cater and others, 1973, USGS B-1304.",
"EC0284",140,,"Cater and others, 1973, USGS B-1304.",
"EC0285",140,,"Cater and others, 1973, USGS B-1304.",
"EC0286",140,,"Cater and others, 1973, USGS B-1304.",
"EC0287",140,,"Cater and others, 1973, USGS B-1304.",
"EC0288",140,,"Cater and others, 1973, USGS B-1304.",
"EC0289",140,,"Cater and others, 1973, USGS B-1304.",
"EC0290",140,,"Cater and others, 1973, USGS B-1304.",
"EC0291",140,,"Cater and others, 1973, USGS B-1304.",
"EC0292",140,,"Cater and others, 1973, USGS B-1304.",
"EC0293",140,,"Cater and others, 1973, USGS B-1304.",
"EC0294",140,,"Cater and others, 1973, USGS B-1304.",
"EC0295",140,,"Cater and others, 1973, USGS B-1304.",
"EC0296",140,,"Cater and others, 1973, USGS B-1304.",
"EC0297",917,,"Shenon and Ross, 1936, IBMG P-44.",
"EC0298",140,,"Cater and others, 1973, USGS B-1304.",
"EC0299",140,,"Cater and others, 1973, USGS B-1304.",
"EC0300",767,,"No reference.",
"EC0301",140,,"Cater and others, 1973, USGS B-1304.",
"EC0302",61,,"Bell, 1912, 13th Ann. Rept. of Mining Ind. of Idaho for 1911.",
"EC0303",140,,"Cater and others, 1973, USGS B-1304.",
"EC0304",61,,"Bell, 1912, 13th Ann. Rept. of Mining Ind. of Idaho for 1911.",
"EC0305",140,,"Cater and others, 1973, USGS B-1304.",
"EC0306",140,,"Cater and others, 1973, USGS B-1304.",
"EC0307",140,,"Cater and others, 1973, USGS B-1304.",
"EC0308",140,,"Cater and others, 1973, USGS B-1304.",
"EC0309",140,,"Cater and others, 1973, USGS B-1304.",
"EC0310",140,,"Cater and others, 1973, USGS B-1304.",
"EC0311",140,,"Cater and others, 1973, USGS B-1304.",
"EC0312",140,,"Cater and others, 1973, USGS B-1304.",
"EC0313",140,,"Cater and others, 1973, USGS B-1304.",
"EC0314",61,,"Bell, 1912, 13th Ann. Rept. of Mining Ind. of Idaho for 1911.",
"EC0315",140,,"Cater and others, 1973, USGS B-1304.",
"EC0316",140,,"Cater and others, 1973, USGS B-1304.",
"EC0317",140,,"Cater and others, 1973, USGS B-1304.",
"EC0318",140,,"Cater and others, 1973, USGS B-1304.",
"EC0319",140,,"Cater and others, 1973, USGS B-1304.",
"EC0320",140,,"Cater and others, 1973, USGS B-1304.",
"EC0321",140,,"Cater and others, 1973, USGS B-1304.",
"EC0322",140,,"Cater and others, 1973, USGS B-1304.",
