"Reference_ID","Title","YearDate","In","SecondTitle","SecondTitleDate","abstract","Publisher","nd","publisherAbbv","pubCity","pubState","volume","number","edition","Institution","Series_Type","PubNumber","PageCount","PlateCount","SheetCount","Scale","Pages","Hyperlink","YearHyperlink","Anno","EnterDate","EditDate","Initials","Notes","OldReference","Pub_ID","Origin","URL_INTRA","Folder","FileName","URL","URL_Year"
899,,"1969",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG B-23",,,,,,,,"B-23",,,,,,,,,,,,,"Savage, 1969, IBMG B-23.","B-23","IGS",,,,,
900,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Savage, 1974, IGS Mineral Property Files.",,,,,,,
901,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Sawlan and others, 1987, USGS B-1719-D.",,,,,,,
902,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Saxon Mining Co., 1955, Ann. Rept. of Saxon Mining Co. to Idaho Inspector of Mines.",,,,,,,
903,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Scheid, 1940, Univ. of Idaho M.S. thesis.",,,,,,,
904,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Schmidt and Mackin, 1970, USGS B-1311-A.",,,,,,,
905,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Schrader and others, 1917, USGS B-624.",,,,,,,
906,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Schrader and Ross, 1926, USGS B-780-D.",,,,,,,
907,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Schrader, 1910, in USGS B-430-D.",,,,,,,
908,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Schrader, 1924, USGS B-750-F.",,,,,,,
909,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Schultz, 1918, USGS B-680.",,,,,,,
910,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Service, 1966, USBM RI-6801.",,,,,,,
911,,"1971",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-146",,,,,,,,"P-146",,,,,,,,,,,,,"Shannon, 1971, IBMG P-146.","P-146","IGS",,,,,
912,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Sharp and Cavender, 1962, USGS B-1126.",,,,,,,
913,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Sharp and Hetland, 1968, US DOE Rept. RA-12(78).",,,,,,,
914,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Sharp and Warner, 1969, US Atomic Energy Comm. Rept.",,,,,,,
915,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Shenon and Reed, 1934, AIMME Tech. Pub. 562.",,,,,,,
916,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Shenon and Reed, 1934, USGS C-9.",,,,,,,
917,,"1936",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-44",,,,,,,,"P-44",,,,,,,,,,,,,"Shenon and Ross, 1936, IBMG P-44.","P-44","IGS",,,,,
918,,"1928",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-27",,,,,,,,"P-27",,,,,,,,,,,,,"Shenon, 1928, IBMG P-27.","P-27","IGS",,,,,
919,,"1938",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-47",,,,,,,,"P-47",,,,,,,,,,,,,"Shenon, 1938, IBMG P-47.","P-47","IGS",,,,,
920,,"1957",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-113",,,,,,,,"P-113",,,,,,,,,,,,,"Shockey, 1957, IBMG P-113.","P-113","IGS",,,,,
921,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Sibbett, 1976, Univ. of Idaho M.S. thesis.",,,,,,,
922,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Silver Bell Mining Co., 1914, Silver Bell Mining Co. Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
923,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Silver King Mining Co., 1914, Silver King Mining Co. Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
924,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Silver, 2008, personal communication.",,,,,,,
925,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Simons, 1934, 35th Ann. Rept. of Mining Ind. of Idaho for 1933.",,,,,,,
1564,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Mackay 15-min. quad. topo. map.",,,,,,,
1565,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Mahoney Butte 7.5-min. quad. topo. map.",,,,,,,
1566,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Malad Summit 7.5-min. quad. topo. map.",,,,,,,
1567,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Mapleton 7.5-min. quad. topo. map.",,,,,,,
1568,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Marion SE 7.5-min. quad. topo. map.",,,,,,,
1569,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, McCall 7.5-min. quad. topo. map.",,,,,,,
1570,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, McMullen Basin 7.5-min. quad. topo. map.",,,,,,,
1571,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Meadow Creek 7.5-min. quad. topo. map.",,,,,,,
1572,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Michaud Creek 7.5-min. quad. topo. map.",,,,,,,
1573,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Milner Butte 7.5-min. quad. topo. map.",,,,,,,
1574,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Mineral 15-min. quad. topo. map.",,,,,,,
1575,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Montour 15-min. quad. topo. map.",,,,,,,
1576,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Montpelier 7.5-min. quad. topo. map.",,,,,,,
1577,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Moonlight Mtn. 7.5-min. quad. topo. map.",,,,,,,
1578,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Morrison Lake 15-min. quad. topo map.",,,,,,,
1579,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Mount Harrison 7.5-min. quad. topo. map.",,,,,,,
1580,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Muldoon Canyon 15-min. quad. topo. map.",,,,,,,
1581,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, n.d., Spokane Commodity Files.",,,,,,,
1582,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Newport 7.5-min. quad. topo. map.",,,,,,,
1583,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Nicholia 15-min. quad. topo. map.",,,,,,,
1584,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Norland 7.5-min. quad. topo. map.",,,,,,,
1585,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, North Pole 7.5-min. quad. topo. map.",,,,,,,
1586,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Opal Lake 7.5-min. quad. topo. map.",,,,,,,
1587,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Orogrande 7.5-min. quad. topo. map.",,,,,,,
1588,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Oxford 7.5-min. quad. topo. map.",,,,,,,
1589,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Packsaddle Mtn. 15-min. quad. topo. map.",,,,,,,
1590,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Palisades Dam 7.5-min. quad. topo. map.",,,,,,,
1591,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Paris 7.5-min. quad. topo. map.",,,,,,,
1592,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Payette 7.5-min. quad. topo. map.",,,,,,,
1593,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pegram 7.5-min. quad. topo. map.",,,,,,,
1594,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pilot Knob 7.5-min. quad. topo. map.",,,,,,,
1595,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pilot Peak 7.5-min. quad. topo. map.",,,,,,,
1596,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pine 7.5-min. quad. topo. map.",,,,,,,
1597,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pine Flat 7.5-min. quad. topo. map.",,,,,,,
1598,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pioneerville 7.5-min. quad. topo. map.",,,,,,,
1599,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Piquett 15-min. quad. topo. map.",,,,,,,
1600,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pixley Basin 7.5-min. quad. topo. map.",,,,,,,
1601,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Placerville 7.5-min. quad. topo. map.",,,,,,,
1602,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pocatello 1 deg. x 2 deg. quad. (AMS) topo. map.",,,,,,,
1603,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Pollock 7.5-min. quad. topo. map.",,,,,,,
1604,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Preston 1 deg. x 2 deg. quad. (AMS) topo. map.",,,,,,,
1605,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Profile Gap 7.5-min. quad. topo. map.",,,,,,,
1606,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Quartz Mtn. 7.5-min. quad. topo. map.",,,,,,,
1607,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Rays Lake 7.5-min. quad. topo. map.",,,,,,,
1608,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Richard Butte 7.5-min. quad. topo. map.",,,,,,,
1609,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Riggins Hot Springs 7.5-min. quad. topo. map.",,,,,,,
1610,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Robie Creek 7.5-min. quad. topo. map.",,,,,,,
1611,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Rocky Bar 7.5-min. quad. topo. map.",,,,,,,
1612,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Rooster Comb Peak 15-min. quad. topo. map.",,,,,,,
1613,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Rough Mountain 7.5-min. quad. topo. map.",,,,,,,
1614,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Rough Mountain NE 7.5-min. quad. topo. map.",,,,,,,
1615,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Saltese 15-min. quad. topo. map.",,,,,,,
1616,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Sands Basin 15-min. quad. topo. map.",,,,,,,
1617,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Scott Butte 7.5-min. quad. topo. map.",,,,,,,
1618,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Scott Peak 15-min. quad. topo. map.",,,,,,,
1619,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Sheep Creek 7.5-min. quad. topo. map.",,,,,,,
1620,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Sheep Creek Spring 7.5-min. quad. topo. map.",,,,,,,
1621,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Shoup 15-min. quad. topo. map.",,,,,,,
1622,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Silver City 15-min. quad. topo. map.",,,,,,,
1623,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Silver Spur Ridge 7.5-min. quad. topo. map.",,,,,,,
1624,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Small 7.5-min. quad. topo. map.",,,,,,,
1625,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Snow Creek 7.5-min. quad. topo. map.",,,,,,,
1626,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Snowyside Peak 7.5-min. quad. topo. map.",,,,,,,
1627,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Soda Springs 15-min. quad. topo. map.",,,,,,,
1628,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Sprout Mtn. 7.5-min. quad. topo. map.",,,,,,,
1629,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"USGS, Spyglass Peak 7.5-min. quad. topo. map.",,,,,,,
163,"Co-operative Mining & Development ISMIR","1913",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned Document not yet available (2015)","Co-operative Mining & Dev. Co., 1913, Co-operative Mining & Dev. Co. Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
164,"Corona Mining ISMIR","1919",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned Document not yet available (2015)","Corona Mining Co., 1919, Corona Mining Co. Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
165,"Coronado Mining ISMIR","1920",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned Document not yet available (2015)","Coronado Mining Co., 1920, Coronado Mining Co. Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
166,"Fluorspar Deposits near Meyers Cove, Lemhi County, Idaho:  A Contribution to Economic Geology","1954",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-1015-A",,,,,,,"Bulletin","B-1015-A",,,,,,"http://pubs.er.usgs.gov/publication/b1015A",2015,,,,,,"Cox, 1954, USGS B-1015-A.",,,,,,,
167,"A Preliminary Report on the Geology and Ore Deposits of the Eastern Part of the Yellow Pine District, Idaho","1935",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-43",,,,,,,"Pamphlet","P-43",,,,,,,,,,,,,"Currier, 1935, IBMG P-43.","P-43","IGS",,,,,
168,"Czizek ISMIR","1900",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned Document not yet available (2015)","Czizek, 1900, Rept. of Inspector of Mines of Idaho for 1899.",,,,,,,
169,"The Geology and Ore Deposits of the Carrietown Silver-Lead-Zinc District, Blaine and Camas Counties, Idaho","1987",FALSE,,,FALSE,"Idaho State University",FALSE,"Thesis",,,,,,,"M.S. Thesis",,,,,,,,,,,,,"IGS Thesis Collection","Darling, 1987, Idaho State Univ. M.S. thesis.",,,,,,,
170,"Geology of the Hall Gulch Plutonic Complex, Elmore and Camas Counties, Idaho","1986",FALSE,,,FALSE,"Univeristy of Idaho",FALSE,"Thesis",,,,,,,"M.S. Thesis",,,,,,,,,,,,,"IGS Thesis Collection","DeLong, 1986, Univ. of Idaho M.S. thesis.",,,,,,,
171,"Mineral Investigation of the Upper Priest Lake RARE II (USFS Roadless Area Review and Evaluation ) Area (A1-123), Bonner County, Idaho","1981",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 20-81",,,,,,,"Mineral Land Assesment Open File Summary Report","MLA 20-81",,,,,,,,,,,,"IGS USBM Publication Collection","Denton, 1981, USBM OFR MLA 20-81.","MLA 20-81.pdf","USBM",,,,,
172,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,"Unable to locate (2015)","Denver Service Center, 1978, Min., phys., and exchangeable chem. properties of bentonites.",,,,,,,
173,"DMA 1036X:  Syringa Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1036X",,,,,,,,"DMA-1036X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1036_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1036X",,,,,,,
174,"DMA 1080X:  Steen Claims","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1080X",,,,,,,,"DMA-1080X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1080_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1080X",,,,,,,
175,"DMA-1091:  Champion Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1091",,,,,,,,"DMA-1091",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1091_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1091",,,,,,,
176,"DMA-1114X:  Pack-Saddle and Buckhorn Claims","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1114X",,,,,,,,"DMA-1114X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1114_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1114X",,,,,,,
177,"DMA-1185X:  Buttercup Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1185X",,,,,,,,"DMA-1185X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1185_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1185X",,,,,,,
178,"DMA-1245X:  Ida Harlan Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1245X",,,,,,,,"DMA-1245X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1245_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1245X",,,,,,,
179,"DMA-1319X:  Taft Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1319X",,,,,,,,"DMA-1319X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1319_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1319X",,,,,,,
180,"DMA-1350X:  Saturday Mountain","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1350X",,,,,,,,"DMA-1350X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1350_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1350X",,,,,,,
181,"DMA-1356X:  Black Warrior Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1356X",,,,,,,,"DMA-1356X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1356_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1356X",,,,,,,
182,"DMA-1485X:  Donahue Lease","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1485X",,,,,,,,"DMA-1485X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1485_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1485X",,,,,,,
183,"DMA-1489X:  Sunset Mine",,FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1489X",,,,,,,,"DMA-1489X",,,,,,"http://minerals.usgs.gov/dockets/id.htm",2015,,,,,"Unable to verify (broken link to Sunset Mine) 2015","Defense Mineral Administration-1489X",,,,,,,
184,"DMA-1496X:  Sungold Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1496X",,,,,,,,"DMA-1496X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1496_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1496X",,,,,,,
185,"DMA-1508X:  Carrietown Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1508X",,,,,,,,"DMA-1508X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1508_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1508X",,,,,,,
186,"DMA-1512X:  Bowler","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1512X",,,,,,,,"DMA-1512X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1512_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1512X",,,,,,,
187,"DMA-1513X:  Old Ironside Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1513X",,,,,,,,"DMA-1513X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1513_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1513X",,,,,,,
188,"DMA-1538X:  None Identified (Even Chance Money Claim)","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1538X",,,,,,,,"DMA-1538X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1538_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1538X",,,,,,,
189,"DMA-1596X:  Nabob and Denver Mines",,FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1596X",,,,,,,,"DMA-1596X",,,,,,"http://minerals.usgs.gov/dockets/id.htm",2015,,,,,"Unable to verify (broken link to Nabob Denver Mines)","Defense Mineral Administration-1596X",,,,,,,
190,"DMA-1601X:  Tuscumbia Lease","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1601X",,,,,,,,"DMA-1601X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1601_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1601X",,,,,,,
191,"DMA-1628X:  Copper Mountain Claim","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1628X",,,,,,,,"DMA-1628X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1628_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1628X",,,,,,,
192,"DMA-1686X:  Golden Triplets Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1686X",,,,,,,,"DMA-1686X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1686_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1686X",,,,,,,
193,"DMA-1734X:  Mountain View Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1734X",,,,,,,,"DMA-1734X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1734_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1734X",,,,,,,
194,"DMA-1763X:  Chamac Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1763X",,,,,,,,"DMA-1763X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1763_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1763X",,,,,,,
195,"DMA-1808X:  Bundy Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1808X",,,,,,,,"DMA-1808X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1808_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1808X",,,,,,,
196,"DMA-1809X:  Valley View Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1809X",,,,,,,,"DMA-1809X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1809_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1809X",,,,,,,
197,"DMA-1822X:  Hansey Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1822X",,,,,,,,"DMA-1822X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1822_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1822X",,,,,,,
198,"DMA-1881X:  Even Chance","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1881X",,,,,,,,"DMA-1881X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1881_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1881X",,,,,,,
199,"DMA-1899X:  Bear Valley","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1899X",,,,,,,,"DMA-1899X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1899_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1899X",,,,,,,
200,"DMA-1905X:  Independence Claims","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1905X",,,,,,,,"DMA-1905X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1905_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1905X",,,,,,,
201,"DMA-1922X:  Hemlick Property","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1922X",,,,,,,,"DMA-1922X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1922_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1922X",,,,,,,
202,"DMA-1928X:  Hardscrabble Mine","1948",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1928X",,,,,,,,"DMA-1928X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1928_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1928X",,,,,,,
203,"DMA-1935X:  Rustler Group of Claims","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1935X",,,,,,,,"DMA-1935X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1935_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1935X",,,,,,,
